Reactive,84
DLBCL-nonGC,55
DLBCL-GC,38
FL-G1,31
FL-G2,29
ATLL,21
PTCL_NOS,19
FL-G3a,18
FL-G3b,18
LG_BCL,10
Reactive-Kikuchi,10
OI_ILPD-DLBCL,9
MALT,9
IgG4_RD,8
DLBCL-CD5+,8
Meta-carcinoma,8
CHL-NS,7
Meta-SqCC,7
N/A,6
Meta-adenocarcinoma,6
MCL,6
CLL/SLL,6
Others,5
BL,5
Reactive-sarcoidosis,5
THRLBCL,5
CHL-MC,5
PCM,5
AITL,4
OI_ILPD-CHL,4
NMZL,3
Others-Normo,3
HG_BCL,3
BPDCN,3
Meta-prostate carcinoma,3
Other_neoplasm-carcinoma,3
DLBCL,3
Composite-DLBCL_AITL,3
Others-Hypo,2
LPL,2
Other_neoplasm-thymoma,2
Meta,2
Castleman-PC,2
Other_neoplasm-schwannoma,2
MF,2
Meta-NEC,2
BCL_NOS,2
EBV_LPD,2
OI_ILPD-THRLBCL,1
DLBCL-CD5+10+,1
Composite-CHL_PTCL,1
Other_neoplasm-oncocytoma,1
EBV_DLBCL,1
Meta-papillary adenocarcinoma,1
ITLPD_GI,1
Other_neoplasm-Papillary carcinoma,1
DLBCL_CNS,1
ENKTL,1
Composite-ATLL_EBVDLBCL,1
Other_neoplasm-Warthin's tumor,1
T_PLL,1
HS,1
OI_ILPD-CLL/SLL,1
OI_ILPD-AITL,1
CHL-LD,1
ALCL_ALKpos,1
Other_neoplasm-follicular tumor,1
DLBCL_CNS-nonGC,1
Other_neoplasm-salivary gland tumor,1
Other_neoplasm-ganglioneuroma,1
Castleman,1
MPN,1
OI_ILPD,1
PTLD-CHL,1
Reactive-Cat scratch,1
Reactive-Kimura's disease,1
Other_neoplasm-liposarcoma,1
LG_BCL-CD5+,1
Reactive-Tb,1
AML,1
MLN_FGFR1,1
Other_neoplasm-thyroid carcinoma,1
FL,1
Other_neoplasm-melanoma,1
T_LBL,1
Meta-lymphoepithelial carcinoma,1
Other_neoplasm-sarcoma,1
Composite-DLBCL_PTCL,1
Other_neoplasm-NEC,1
